"NutsID","region_name","NUTS_level","tc.year","tc.area","tc.hold","tcn.crop_name"
"16I0509","Sertã","4","2019","3","36","Potatoes"
"16I0509","Sertã","4","2019","0","0","Sugarbeets"
"16I0509","Sertã","4","2019","0","2","Industrial crops"
"16I0509","Sertã","4","2019","5","27","Fresh vegetables"
"16I0509","Sertã","4","2019","0","1","Flowers and ornamental plants"
"16I0509","Sertã","4","2019","0","1","Other temporary crops"
"16I0510","Vila de Rei","4","2019","259","42","Total"
"16I0510","Vila de Rei","4","2019","4","14","Cereals"
"16I0510","Vila de Rei","4","2019","0","0","Dried pulses"
"16I0510","Vila de Rei","4","2019","0","0","Temporary grasses and grazings"
"16I0510","Vila de Rei","4","2019","254","30","Fodder plants"
"16I0510","Vila de Rei","4","2019","1","2","Potatoes"
"16I0510","Vila de Rei","4","2019","0","0","Sugarbeets"
"16I0510","Vila de Rei","4","2019","0","1","Industrial crops"
"16I0510","Vila de Rei","4","2019","0","1","Fresh vegetables"
"16I0510","Vila de Rei","4","2019","0","0","Flowers and ornamental plants"
"16I0510","Vila de Rei","4","2019","0","0","Other temporary crops"
"16I1401","Abrantes","4","2019","2429","253","Total"
"16I1401","Abrantes","4","2019","727","47","Cereals"
"16I1401","Abrantes","4","2019","164","11","Dried pulses"
"16I1401","Abrantes","4","2019","83","15","Temporary grasses and grazings"
"16I1401","Abrantes","4","2019","1339","188","Fodder plants"
"16I1401","Abrantes","4","2019","1","2","Potatoes"
"16I1401","Abrantes","4","2019","0","0","Sugarbeets"
"16I1401","Abrantes","4","2019","0","0","Industrial crops"
"16I1401","Abrantes","4","2019","114","30","Fresh vegetables"
"16I1401","Abrantes","4","2019","0","0","Flowers and ornamental plants"
"16I1401","Abrantes","4","2019","0","1","Other temporary crops"
"16I1402","Alcanena","4","2019","635","163","Total"
"16I1402","Alcanena","4","2019","68","9","Cereals"
"16I1402","Alcanena","4","2019","1","4","Dried pulses"
"16I1402","Alcanena","4","2019","0","0","Temporary grasses and grazings"
"16I1402","Alcanena","4","2019","564","154","Fodder plants"
"16I1402","Alcanena","4","2019","0","2","Potatoes"
"16I1402","Alcanena","4","2019","0","0","Sugarbeets"
"16I1402","Alcanena","4","2019","0","1","Industrial crops"
"16I1402","Alcanena","4","2019","1","3","Fresh vegetables"
"16I1402","Alcanena","4","2019","0","1","Flowers and ornamental plants"
"16I1402","Alcanena","4","2019","0","0","Other temporary crops"
"16I1408","Constância","4","2019","669","16","Total"
"16I1408","Constância","4","2019","558","7","Cereals"
"16I1408","Constância","4","2019","13","1","Dried pulses"
"16I1408","Constância","4","2019","11","2","Temporary grasses and grazings"
"16I1408","Constância","4","2019","40","7","Fodder plants"
"16I1408","Constância","4","2019","0","0","Potatoes"
"16I1408","Constância","4","2019","0","0","Sugarbeets"
"16I1408","Constância","4","2019","25","1","Industrial crops"
"16I1408","Constância","4","2019","22","4","Fresh vegetables"
"16I1408","Constância","4","2019","0","0","Flowers and ornamental plants"
"16I1408","Constância","4","2019","0","0","Other temporary crops"
"16I1410","Entroncamento","4","2019","248","16","Total"
"16I1410","Entroncamento","4","2019","188","6","Cereals"
"16I1410","Entroncamento","4","2019","0","0","Dried pulses"
"16I1410","Entroncamento","4","2019","0","0","Temporary grasses and grazings"
"16I1410","Entroncamento","4","2019","52","10","Fodder plants"
"16I1410","Entroncamento","4","2019","0","1","Potatoes"
"16I1410","Entroncamento","4","2019","0","0","Sugarbeets"
"16I1410","Entroncamento","4","2019","0","0","Industrial crops"
"16I1410","Entroncamento","4","2019","4","1","Fresh vegetables"
"16I1410","Entroncamento","4","2019","4","1","Flowers and ornamental plants"
"16I1410","Entroncamento","4","2019","0","0","Other temporary crops"
"16I1411","Ferreira do Zêzere","4","2019","206","154","Total"
"16I1411","Ferreira do Zêzere","4","2019","8","16","Cereals"
"16I1411","Ferreira do Zêzere","4","2019","2","6","Dried pulses"
"16I1411","Ferreira do Zêzere","4","2019","90","56","Temporary grasses and grazings"
"16I1411","Ferreira do Zêzere","4","2019","87","80","Fodder plants"
"16I1411","Ferreira do Zêzere","4","2019","0","1","Potatoes"
"16I1411","Ferreira do Zêzere","4","2019","0","0","Sugarbeets"
"16I1411","Ferreira do Zêzere","4","2019","0","2","Industrial crops"
"16I1411","Ferreira do Zêzere","4","2019","18","10","Fresh vegetables"
"16I1411","Ferreira do Zêzere","4","2019","0","1","Flowers and ornamental plants"
"16I1411","Ferreira do Zêzere","4","2019","1","1","Other temporary crops"
"16I1413","Mação","4","2019","347","187","Total"
"16I1413","Mação","4","2019","9","34","Cereals"
"16I1413","Mação","4","2019","0","1","Dried pulses"
"16I1413","Mação","4","2019","50","18","Temporary grasses and grazings"
"16I1413","Mação","4","2019","282","167","Fodder plants"
"16I1413","Mação","4","2019","0","1","Potatoes"
"16I1413","Mação","4","2019","0","0","Sugarbeets"
"16I1413","Mação","4","2019","6","1","Industrial crops"
"16I1413","Mação","4","2019","1","3","Fresh vegetables"
"16I1413","Mação","4","2019","0","0","Flowers and ornamental plants"
"16I1413","Mação","4","2019","0","0","Other temporary crops"
"16I1417","Sardoal","4","2019","39","28","Total"
"16I1417","Sardoal","4","2019","1","1","Cereals"
"16I1417","Sardoal","4","2019","0","0","Dried pulses"
"16I1417","Sardoal","4","2019","4","2","Temporary grasses and grazings"
"16I1417","Sardoal","4","2019","34","25","Fodder plants"
"16I1417","Sardoal","4","2019","0","1","Potatoes"
"16I1417","Sardoal","4","2019","0","0","Sugarbeets"
"16I1417","Sardoal","4","2019","0","0","Industrial crops"
"16I1417","Sardoal","4","2019","0","1","Fresh vegetables"
"16I1417","Sardoal","4","2019","0","0","Flowers and ornamental plants"
"16I1417","Sardoal","4","2019","0","0","Other temporary crops"
"16I1418","Tomar","4","2019","2002","391","Total"
"16I1418","Tomar","4","2019","343","90","Cereals"
"16I1418","Tomar","4","2019","2","6","Dried pulses"
"16I1418","Tomar","4","2019","187","64","Temporary grasses and grazings"
"16I1418","Tomar","4","2019","1368","265","Fodder plants"
"16I1418","Tomar","4","2019","13","9","Potatoes"
"16I1418","Tomar","4","2019","0","0","Sugarbeets"
"16I1418","Tomar","4","2019","15","5","Industrial crops"
"16I1418","Tomar","4","2019","65","28","Fresh vegetables"
"16I1418","Tomar","4","2019","0","1","Flowers and ornamental plants"
"16I1418","Tomar","4","2019","8","3","Other temporary crops"
"16I1419","Torres Novas","4","2019","3245","457","Total"
"16I1419","Torres Novas","4","2019","1287","131","Cereals"
"16I1419","Torres Novas","4","2019","25","16","Dried pulses"
"16I1419","Torres Novas","4","2019","78","27","Temporary grasses and grazings"
"16I1419","Torres Novas","4","2019","1441","317","Fodder plants"
"16I1419","Torres Novas","4","2019","60","16","Potatoes"
"16I1419","Torres Novas","4","2019","0","0","Sugarbeets"
"16I1419","Torres Novas","4","2019","37","12","Industrial crops"
"16I1419","Torres Novas","4","2019","316","54","Fresh vegetables"
"16I1419","Torres Novas","4","2019","0","3","Flowers and ornamental plants"
"16I1419","Torres Novas","4","2019","0","2","Other temporary crops"
"16I1420","Vila Nova da Barquinha","4","2019","33","21","Total"
"16I1420","Vila Nova da Barquinha","4","2019","17","7","Cereals"
"16I1420","Vila Nova da Barquinha","4","2019","1","1","Dried pulses"
"16I1420","Vila Nova da Barquinha","4","2019","0","0","Temporary grasses and grazings"
"16I1420","Vila Nova da Barquinha","4","2019","16","15","Fodder plants"
"16I1420","Vila Nova da Barquinha","4","2019","0","0","Potatoes"
"16I1420","Vila Nova da Barquinha","4","2019","0","0","Sugarbeets"
"16I1420","Vila Nova da Barquinha","4","2019","0","1","Industrial crops"
"16I1420","Vila Nova da Barquinha","4","2019","0","1","Fresh vegetables"
"16I1420","Vila Nova da Barquinha","4","2019","0","0","Flowers and ornamental plants"
"16I1420","Vila Nova da Barquinha","4","2019","0","0","Other temporary crops"
"16I1421","Ourém","4","2019","708","700","Total"
"16I1421","Ourém","4","2019","185","324","Cereals"
"16I1421","Ourém","4","2019","21","84","Dried pulses"
"16I1421","Ourém","4","2019","20","24","Temporary grasses and grazings"
"16I1421","Ourém","4","2019","466","419","Fodder plants"
"16I1421","Ourém","4","2019","6","49","Potatoes"
"16I1421","Ourém","4","2019","0","0","Sugarbeets"
"16I1421","Ourém","4","2019","1","1","Industrial crops"
"16I1421","Ourém","4","2019","4","14","Fresh vegetables"
"16I1421","Ourém","4","2019","1","3","Flowers and ornamental plants"
"16I1421","Ourém","4","2019","2","11","Other temporary crops"
"16J0501","Belmonte","4","2019","1871","361","Total"
"16J0501","Belmonte","4","2019","792","215","Cereals"
"16J0501","Belmonte","4","2019","24","75","Dried pulses"
"16J0501","Belmonte","4","2019","197","67","Temporary grasses and grazings"
"16J0501","Belmonte","4","2019","825","149","Fodder plants"
"16J0501","Belmonte","4","2019","27","109","Potatoes"
"16J0501","Belmonte","4","2019","0","0","Sugarbeets"
"16J0501","Belmonte","4","2019","0","0","Industrial crops"
"16J0501","Belmonte","4","2019","4","10","Fresh vegetables"
"16J0501","Belmonte","4","2019","1","1","Flowers and ornamental plants"
"16J0501","Belmonte","4","2019","0","1","Other temporary crops"
"16J0503","Covilhã","4","2019","3882","658","Total"
"16J0503","Covilhã","4","2019","1147","269","Cereals"
"16J0503","Covilhã","4","2019","21","53","Dried pulses"
"16J0503","Covilhã","4","2019","260","65","Temporary grasses and grazings"
"16J0503","Covilhã","4","2019","2320","433","Fodder plants"
"16J0503","Covilhã","4","2019","99","89","Potatoes"
"16J0503","Covilhã","4","2019","0","0","Sugarbeets"
"16J0503","Covilhã","4","2019","8","5","Industrial crops"
"16J0503","Covilhã","4","2019","26","33","Fresh vegetables"
"16J0503","Covilhã","4","2019","0","2","Flowers and ornamental plants"
"16J0503","Covilhã","4","2019","0","3","Other temporary crops"
"16J0504","Fundão","4","2019","8777","1393","Total"
"16J0504","Fundão","4","2019","1804","572","Cereals"
"16J0504","Fundão","4","2019","142","95","Dried pulses"
"16J0504","Fundão","4","2019","748","82","Temporary grasses and grazings"
"16J0504","Fundão","4","2019","5994","829","Fodder plants"
"16J0504","Fundão","4","2019","26","57","Potatoes"
"16J0504","Fundão","4","2019","0","0","Sugarbeets"
"16J0504","Fundão","4","2019","9","7","Industrial crops"
"16J0504","Fundão","4","2019","42","34","Fresh vegetables"
"16J0504","Fundão","4","2019","1","2","Flowers and ornamental plants"
"16J0504","Fundão","4","2019","12","8","Other temporary crops"
"16J0902","Almeida","4","2019","3794","454","Total"
"16J0902","Almeida","4","2019","446","101","Cereals"
"16J0902","Almeida","4","2019","24","10","Dried pulses"
"16J0902","Almeida","4","2019","465","95","Temporary grasses and grazings"
"16J0902","Almeida","4","2019","2848","380","Fodder plants"
"16J0902","Almeida","4","2019","10","32","Potatoes"
"16J0902","Almeida","4","2019","0","0","Sugarbeets"
"16J0902","Almeida","4","2019","1","2","Industrial crops"
"16J0902","Almeida","4","2019","1","5","Fresh vegetables"
"16J0902","Almeida","4","2019","0","1","Flowers and ornamental plants"
"16J0902","Almeida","4","2019","0","0","Other temporary crops"
"16J0903","Celorico da Beira","4","2019","3798","556","Total"
"16J0903","Celorico da Beira","4","2019","693","271","Cereals"
"16J0903","Celorico da Beira","4","2019","11","42","Dried pulses"
"16J0903","Celorico da Beira","4","2019","486","116","Temporary grasses and grazings"
"16J0903","Celorico da Beira","4","2019","2514","343","Fodder plants"
"16J0903","Celorico da Beira","4","2019","54","241","Potatoes"
"16J0903","Celorico da Beira","4","2019","0","0","Sugarbeets"
"16J0903","Celorico da Beira","4","2019","2","2","Industrial crops"
"16J0903","Celorico da Beira","4","2019","8","13","Fresh vegetables"
"16J0903","Celorico da Beira","4","2019","0","2","Flowers and ornamental plants"
